#MatchID,NumFilters,RAh,RAm,RAs,Decd,Decm,Decs,W3_F438W,W3_F438W_Sigma,W3_F555W,W3_F555W_Sigma,W3_F814W,W3_F814W_Sigma
1930434,3,13,37,00.938,-29,51,55.36,20.690,0.000,,,,
1932092,2,13,37,00.971,-29,51,55.37,22.393,0.000,,,,
1934350,2,13,37,00.968,-29,51,55.73,22.158,0.000,,,,
1935078,2,13,37,00.929,-29,51,55.71,,,,,,
1932112,3,13,37,00.945,-29,51,55.93,20.657,0.000,,,,
1922507,3,13,37,00.952,-29,51,55.03,22.455,0.000,,,,
1931809,3,13,37,00.913,-29,51,55.71,19.941,0.000,,,,
1933015,2,13,37,00.903,-29,51,55.64,,,,,,
1931058,2,13,37,00.972,-29,51,56.09,22.206,0.000,,,,
1929735,3,13,37,00.991,-29,51,55.89,22.187,0.000,,,,
1926920,3,13,37,01.003,-29,51,55.46,21.448,0.000,,,,
1929589,2,13,37,00.891,-29,51,55.31,,,,,,
1931064,3,13,37,00.963,-29,51,56.31,21.587,0.000,,,,
1934027,2,13,37,00.999,-29,51,56.10,21.752,0.000,,,,
1931632,3,13,37,00.935,-29,51,56.44,20.248,0.000,,,,
1930737,15,13,37,00.885,-29,51,55.99,18.766,1.475,18.722,0.207,,
1929085,3,13,37,00.900,-29,51,54.76,21.458,0.000,,,,
1935834,3,13,37,00.984,-29,51,56.45,21.914,0.000,,,,
1922900,3,13,37,01.018,-29,51,54.88,21.554,0.000,,,,
1926971,3,13,37,01.006,-29,51,56.33,21.481,0.000,,,,
1922602,3,13,37,00.956,-29,51,54.41,20.785,0.000,,,,
1930495,3,13,37,00.917,-29,51,56.53,20.284,0.000,,,,
1929321,3,13,37,00.867,-29,51,55.15,20.319,0.000,,,,
1932371,2,13,37,01.016,-29,51,56.39,21.953,0.000,,,,
1928198,2,13,37,00.873,-29,51,54.73,21.111,0.000,,,,
1927909,2,13,37,01.008,-29,51,54.49,21.954,0.000,,,,
1930624,3,13,37,00.993,-29,51,54.35,20.962,0.000,,,,
1924320,3,13,37,00.884,-29,51,54.54,20.652,0.000,,,,
1931092,3,13,37,00.978,-29,51,56.77,22.291,0.000,,,,
1922480,2,13,37,00.844,-29,51,55.71,,,,,,
1927946,5,13,37,01.047,-29,51,54.85,21.837,0.000,,,,
1929671,3,13,37,01.036,-29,51,54.56,22.263,0.000,,,,
1928241,2,13,37,00.987,-29,51,54.11,21.700,0.000,,,,
1932345,3,13,37,00.937,-29,51,56.99,21.021,0.000,,,,
1930568,3,13,37,00.931,-29,51,54.02,22.436,0.000,,,,
1928024,2,13,37,00.848,-29,51,54.79,22.803,0.000,,,,
1932773,3,13,37,01.014,-29,51,56.80,22.504,0.000,,,,
1930350,3,13,37,00.890,-29,51,54.16,21.841,0.000,,,,
1930059,2,13,37,00.877,-29,51,56.75,,,,,,
1930955,3,13,37,00.951,-29,51,57.12,21.341,0.000,,,,
1928018,2,13,37,00.918,-29,51,53.92,23.340,0.000,,,,
2170120,3,13,37,01.072,-29,51,54.99,23.404,0.000,,,,
1922258,2,13,37,00.854,-29,51,54.37,22.663,0.000,,,,
1936415,3,13,37,01.000,-29,51,57.08,21.610,0.000,,,,
1928021,2,13,37,00.824,-29,51,55.04,22.668,0.000,,,,
1932048,2,13,37,00.946,-29,51,53.72,24.780,0.000,,,,
1929351,2,13,37,01.019,-29,51,53.96,,,,,,
1931718,3,13,37,01.084,-29,51,55.98,23.799,0.000,,,,
1922320,2,13,37,00.994,-29,51,53.79,22.993,0.000,,,,
1929730,3,13,37,00.880,-29,51,57.10,19.752,0.000,,,,
1930888,2,13,37,01.036,-29,51,54.04,,,,,22.787,0.000
1928143,2,13,37,00.930,-29,51,53.67,23.977,0.000,,,,
1927091,2,13,37,00.807,-29,51,55.61,22.682,0.000,,,,
1933615,5,13,37,01.061,-29,51,56.70,24.035,0.000,22.558,0.000,22.733,0.000
1937197,3,13,37,01.053,-29,51,56.83,23.586,0.000,,,,
1929429,2,13,37,00.848,-29,51,54.17,22.710,0.155,,,,
1930553,2,13,37,00.807,-29,51,55.15,21.813,0.000,,,,
1930945,2,13,37,01.080,-29,51,54.63,23.919,0.000,,,,
1932283,3,13,37,00.932,-29,51,57.41,19.861,0.000,,,,
