#clustering band1 band2 band3 band4 band5 band6 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
meanshift mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 0.5000 N/A N/A N/A N/A 0.449105654949 13 13147 11849   847    98    96    89    64    45    38    12     4     2     2     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 N/A N/A N/A experiments.txt 3349.32609229 0.373560073196 3 13147 7104 4769 1274    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 0.5500 N/A N/A N/A N/A 0.466277447292 10 13147 11886   858   147    88    78    29    28    27     4     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 N/A N/A N/A experiments.txt 2562.80798794 0.404954218415 4 13147 7384 3593 1248  922    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 0.6500 N/A N/A N/A N/A 0.466936668027 6 13147 12454   456    96    64    45    32     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 N/A N/A N/A experiments.txt 2097.70829716 0.334210722064 5 13147 4907 4600 2541  656  443    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 0.7000 N/A N/A N/A N/A 0.560071988436 4 13147 12705   221   160    61     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 N/A N/A N/A experiments.txt 1806.12334999 0.314341463877 6 13147 4939 3084 2862 1513  426  323    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 0.7500 N/A N/A N/A N/A 0.596968117107 3 13147 12774   203   170     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 N/A N/A N/A experiments.txt 1602.78962805 0.321189252775 7 13147 4293 2559 2497 1667 1436  421  274    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 0.5700 N/A N/A N/A N/A 0.418526426698 7 13147 12337   344   312    51    40    32    31     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 N/A N/A N/A experiments.txt 1443.93194598 0.304103101861 8 13147 3713 2822 2024 1495 1463 1054  343  233    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
