# clustering total_clust clust_num n_obj t_scr c_scr rms avg_dist max_dist min_dist stdev cen_1 cen_2 avg_col_1 avg_col_2
meanshift 12 1 14491 0.481871610504 0.488203205385 0.2784 0.4495  2.2059 0.0000 0.2722 -0.20903668363 -0.0514283290925  -0.1011 -0.0158
meanshift 12 2 279 0.481871610504 0.149384724183 1.0983 0.4587  1.6030 0.0022 0.6585 2.34361904762 0.425571428571  1.4751 0.2829
meanshift 12 3 30 0.481871610504 0.42983426014 0.9737 0.4459  1.2027 0.0139 0.7227 -1.85028571429 0.0908571428571  -1.3304 0.0252
meanshift 12 4 3 0.481871610504 0.931302211874 2.5133 0.0403  0.0448 0.0369 1.3533 3.471 0.764666666667  3.4710 0.7647
meanshift 12 5 3 0.481871610504 0.548190968167 1.5904 0.3664  0.4889 0.2898 0.9724 -2.21866666667 -0.298333333333  -2.2187 -0.2983
meanshift 12 6 3 0.481871610504 0.658972822093 2.1148 0.1984  0.2381 0.1453 1.0622 2.88766666667 0.769666666667  2.8877 0.7697
meanshift 12 7 19 0.481871610504 0.205660646588 0.8493 0.5601  1.2038 0.0332 0.5023 0.71 1.677  0.2886 1.0810
meanshift 12 8 1 0.481871610504 1.0 N/A N/A N/A N/A 1.6760 3.443 0.091  3.4430 0.0910
meanshift 12 9 1 0.481871610504 1.0 N/A N/A N/A N/A 1.7650 -3.682 -0.152  -3.6820 -0.1520
meanshift 12 10 92 0.481871610504 0.519295576735 0.8065 0.2800  1.2931 0.0040 0.2991 1.071 1.564  0.9929 0.5051
meanshift 12 11 1 0.481871610504 1.0 N/A N/A N/A N/A 1.5115 -2.621 0.402  -2.6210 0.4020
meanshift 12 12 20 0.481871610504 0.519165866353 0.8361 0.4162  1.0940 0.0158 0.8325 -1.409 1.114  -0.7218 0.8770
meanshift 8 1 13562 0.303385985618 0.300488635373 0.4006 0.6797  3.0774 0.0000 0.4001 -0.171870688711 -0.112097996277  -0.0621 0.0216
meanshift 8 2 85 0.303385985618 0.379681897245 1.0801 0.6837  2.3846 0.0041 1.0626 -1.7865 0.771  -0.7856 1.1725
meanshift 8 3 91 0.303385985618 0.67194966752 1.6742 0.6942  2.1925 0.0060 0.6158 3.29483333333 1.63133333333  2.0176 1.0961
meanshift 8 4 300 0.303385985618 0.23871171049 1.5180 0.8763  2.8750 0.0050 1.0573 0.6992 3.071  0.1618 2.0168
meanshift 8 5 4 0.303385985618 0.41706994813 1.3301 0.7782  1.3485 0.4758 0.8754 -2.02233333333 -0.247333333333  -1.7970 -0.2060
meanshift 8 6 6 0.303385985618 0.550349701582 2.6742 0.8926  2.0152 0.1430 2.2225 -0.346 4.596  -0.6873 3.6615
meanshift 8 7 1 0.303385985618 1.0 N/A N/A N/A N/A 1.9000 -3.682 0.118  -3.6820 0.1180
meanshift 8 8 46 0.303385985618 0.652050482511 0.7685 0.4105  1.9321 0.0106 0.5612 0.446 -1.566  -0.0276 -1.0223
meanshift 7 1 13632 0.445165231544 0.450807368496 0.3622 0.6159  2.8087 0.0000 0.3618 -0.167544559929 -0.0620216718266  -0.0645 0.0303
meanshift 7 2 13 0.445165231544 0.459745136326 0.9739 0.4859  1.1374 0.0280 0.7493 -1.8175 0.05375  -1.3179 0.0739
meanshift 7 3 73 0.445165231544 0.724592797321 1.6060 0.5791  1.9206 0.0191 0.8269 3.464 0.93975  2.1238 0.6297
meanshift 7 4 50 0.445165231544 0.318638970495 1.0743 0.6527  1.8201 0.0144 1.0620 -1.76175 0.77775  -0.8307 1.1549
meanshift 7 5 3 0.445165231544 0.569475282981 1.7523 0.4786  0.5282 0.4223 1.4735 -2.40866666667 0.512  -2.4087 0.5120
meanshift 7 6 326 0.445165231544 0.16264126265 1.2071 0.9331  3.3368 0.0014 0.8095 0.913333333333 2.22566666667  0.3012 1.4896
meanshift 7 7 1 0.445165231544 1.0 N/A N/A N/A N/A 1.9760 -3.682 0.27  -3.6820 0.2700
kmeans 12 1 1995 0.31472659205 0.315889285836 0.2935 0.1398  0.5615 0.0000 0.2247 -0.39824248497 0.0206688376754  -0.3983 0.0207
kmeans 12 2 234 0.31472659205 0.208574962804 0.4864 0.3913  1.8408 0.0040 0.4575 -0.228884615385 0.558790598291  -0.2289 0.5588
kmeans 12 3 1535 0.31472659205 0.312948396022 0.4148 0.1653  0.8540 0.0000 0.2282 -0.553622149837 -0.139306188925  -0.5536 -0.1393
kmeans 12 4 1549 0.31472659205 0.296115608198 0.1377 0.1532  0.6080 0.0000 0.0898 0.0929351491569 0.117070687419  0.0921 0.1167
kmeans 12 5 163 0.31472659205 0.12422512551 0.7742 0.4483  3.0241 0.0010 0.6084 -1.00064417178 0.0430122699387  -1.0006 0.0430
kmeans 12 6 2242 0.31472659205 0.310838019437 0.2423 0.1442  0.7223 0.0000 0.0937 -0.265098974588 -0.181718234507  -0.2651 -0.1818
kmeans 12 7 2481 0.31472659205 0.339236788378 0.1372 0.1276  0.4050 0.0000 0.1213 -0.161240949316 0.0337099758648  -0.1617 0.0335
kmeans 12 8 102 0.31472659205 0.393336576298 1.4733 0.5444  2.1428 0.0030 0.8417 1.97393203883 0.438650485437  1.9781 0.4402
kmeans 12 9 1907 0.31472659205 0.323091972491 0.1170 0.1415  0.5170 0.0000 0.1025 0.00677294179339 -0.119930781332  0.0069 -0.1200
kmeans 12 10 447 0.31472659205 0.359953373451 0.8132 0.3123  1.7332 0.0014 0.4578 1.08844320713 0.252276169265  1.0910 0.2531
kmeans 12 11 1341 0.31472659205 0.313352684029 0.2436 0.1705  0.9526 0.0000 0.1761 0.315022505626 0.0192460615154  0.3159 0.0205
kmeans 12 12 947 0.31472659205 0.304898729607 0.4734 0.2346  1.1512 0.0010 0.2618 0.616384453782 0.170181722689  0.6187 0.1701
kmeans 8 1 1856 0.32243824649 0.339726526908 0.4356 0.3638  1.5349 0.0010 0.2254 0.468135995683 0.277504047491  0.4676 0.2780
kmeans 8 2 3317 0.32243824649 0.349073432402 0.1631 0.2576  0.9631 0.0000 0.1591 0.0302646172393 -0.102432790838  0.0301 -0.1015
kmeans 8 3 2101 0.32243824649 0.297015649809 0.4670 0.3109  1.6075 0.0010 0.2276 -0.268134094151 -0.548363766049  -0.2669 -0.5487
kmeans 8 4 280 0.32243824649 0.317491772465 1.5621 0.8017  3.1593 0.0045 1.1895 -0.0797071428571 2.10468928571  -0.0797 2.1047
kmeans 8 5 525 0.32243824649 0.258033315469 1.1347 0.7119  2.9537 0.0010 0.4777 1.24476952381 0.813685714286  1.2448 0.8137
kmeans 8 6 836 0.32243824649 0.273470535717 0.7377 0.4878  2.2778 0.0010 0.5767 -0.0460107398568 0.96542124105  -0.0459 0.9662
kmeans 8 7 2176 0.32243824649 0.297912168737 0.3345 0.3173  2.8494 0.0010 0.3314 -0.22674873911 0.319318202659  -0.2276 0.3196
kmeans 8 8 3004 0.32243824649 0.343237270596 0.3410 0.2557  3.5392 0.0000 0.1971 -0.398837837838 -0.157120787454  -0.3988 -0.1577
kmeans 7 1 509 0.324760207379 0.298990074827 1.0338 0.5994  2.8061 0.0010 0.5470 1.27987058824 0.473380392157  1.2806 0.4739
kmeans 7 2 2312 0.324760207379 0.28831478083 0.3872 0.2950  1.3862 0.0000 0.1845 -0.269785006463 -0.411133132271  -0.2690 -0.4118
kmeans 7 3 437 0.324760207379 0.301144303893 1.0977 0.6926  2.5054 0.0010 0.8527 -0.060504587156 1.4442912844  -0.0605 1.4432
kmeans 7 4 2005 0.324760207379 0.295903090175 0.4228 0.3630  1.9455 0.0010 0.3967 -0.191305 0.485978  -0.1922 0.4849
kmeans 7 5 1794 0.324760207379 0.344999281821 0.4279 0.3411  1.3664 0.0010 0.2371 0.492924107143 0.219247767857  0.4930 0.2194
kmeans 7 6 3172 0.324760207379 0.321921203927 0.3341 0.2645  3.5178 0.0000 0.2456 -0.408332912591 -0.0431344272641  -0.4084 -0.0445
kmeans 7 7 3869 0.324760207379 0.360493966197 0.1438 0.2496  1.1621 0.0000 0.1437 0.0253560723514 -0.0359788113695  0.0253 -0.0358
meanshift 16 1 14108 0.385265585896 0.381458262964 0.2617 0.4210  1.8837 0.0000 0.2527 -0.209374473561 -0.0526514974263  -0.1133 -0.0224
meanshift 16 2 174 0.385265585896 0.257662283946 1.2204 0.4665  1.5478 0.0022 0.7239 2.38547058824 0.455588235294  1.6517 0.3133
meanshift 16 3 103 0.385265585896 0.577385300209 0.7221 0.3074  1.0127 0.0036 0.4918 -1.4324 -0.1191  -0.9860 -0.0715
meanshift 16 4 4 0.385265585896 0.463385320861 1.3720 0.2666  0.4456 0.1148 1.0628 -2.0095 0.0945  -1.9233 0.1880
meanshift 16 5 61 0.385265585896 0.356088162057 0.6938 0.4446  1.3060 0.0150 0.6921 -0.988 0.905  -0.5952 0.6941
meanshift 16 6 3 0.385265585896 0.931302211874 2.5133 0.0403  0.0448 0.0369 1.3533 3.471 0.764666666667  3.4710 0.7647
meanshift 16 7 477 0.385265585896 0.497062794897 0.7288 0.3496  1.7930 0.0010 0.3700 0.739333333333 1.22766666667  0.9289 0.3268
meanshift 16 8 3 0.385265585896 0.658972822093 2.1148 0.1984  0.2381 0.1453 1.0622 2.88766666667 0.769666666667  2.8877 0.7697
meanshift 16 9 2 0.385265585896 0.155790601328 1.4958 0.2898  0.2898 0.2898 0.9190 -2.0935 -0.267  -2.0935 -0.2670
meanshift 16 10 1 0.385265585896 1.0 N/A N/A N/A N/A 0.4835 0.71 1.677  0.7100 1.6770
meanshift 16 11 1 0.385265585896 1.0 N/A N/A N/A N/A 1.6760 3.443 0.091  3.4430 0.0910
meanshift 16 12 1 0.385265585896 1.0 N/A N/A N/A N/A 1.0540 -2.469 -0.361  -2.4690 -0.3610
meanshift 16 13 1 0.385265585896 1.0 N/A N/A N/A N/A 1.7650 -3.682 -0.152  -3.6820 -0.1520
meanshift 16 14 2 0.385265585896 -0.324862912335 1.2700 0.7872  0.7872 0.7872 0.2791 1.071 1.564  1.2595 1.2185
meanshift 16 15 1 0.385265585896 1.0 N/A N/A N/A N/A 1.5115 -2.621 0.402  -2.6210 0.4020
meanshift 16 16 1 0.385265585896 1.0 N/A N/A N/A N/A 1.2615 -1.409 1.114  -1.4090 1.1140
meanshift 8 1 14498 0.536527875548 0.540642659302 0.2799 0.4511  2.4984 0.0000 0.2736 -0.196278694639 -0.0473010722611  -0.1012 -0.0167
meanshift 8 2 358 0.536527875548 0.410319634214 0.9397 0.5080  2.3573 0.0022 0.5022 0.8105 1.47025  1.1882 0.4003
meanshift 8 3 17 0.536527875548 0.145031855925 1.9541 0.5740  1.4509 0.0212 1.0414 3.471 0.764666666667  2.6391 0.6679
meanshift 8 4 16 0.536527875548 0.390284604623 1.2061 0.4836  1.2139 0.0237 0.8257 -2.21866666667 -0.298333333333  -1.6586 -0.0998
meanshift 8 5 2 0.536527875548 0.400882936855 1.7076 0.5045  0.5045 0.5045 1.3672 -2.621 0.402  -2.3785 0.3325
meanshift 8 6 1 0.536527875548 1.0 N/A N/A N/A N/A 1.7650 -3.682 -0.152  -3.6820 -0.1520
meanshift 8 7 24 0.536527875548 0.443038905126 1.5761 0.3912  1.6769 0.0262 0.9759 3.443 0.091  2.1800 0.2954
meanshift 8 8 27 0.536527875548 0.409612810081 0.8490 0.5691  1.6429 0.0158 0.8488 -1.409 1.114  -0.8054 0.7650
meanshift 5 1 14830 0.680163910129 0.681484255778 0.3053 0.4884  3.0487 0.0000 0.3023 -0.18193714333 -0.0409731205029  -0.0787 -0.0071
meanshift 5 2 96 0.680163910129 0.503200589298 1.4693 0.5166  2.0439 0.0030 0.8316 3.2652 0.7738  1.9770 0.4456
meanshift 5 3 1 0.680163910129 1.0 N/A N/A N/A N/A 1.7650 -3.682 -0.152  -3.6820 -0.1520
meanshift 5 4 14 0.680163910129 0.559332513599 1.3697 0.6609  1.8164 0.0269 1.0448 -2.621 0.402  -1.8641 0.0926
meanshift 5 5 2 0.680163910129 0.0699420485234 2.1285 0.9482  0.9482 0.9482 1.4624 3.443 0.091  2.9700 0.1230
meanshift 4 1 14829 0.721140091008 0.72188575412 0.3053 0.4882  3.4129 0.0000 0.3021 -0.167256129733 -0.035824255121  -0.0805 -0.0072
meanshift 4 2 106 0.721140091008 0.618124570297 1.4458 0.5244  2.0442 0.0030 0.8214 3.17933333333 0.767166666667  1.9432 0.4366
meanshift 4 3 7 0.721140091008 0.661618233405 1.7799 0.8186  1.7186 0.2301 1.2765 -3.682 -0.152  -2.4394 -0.0413
meanshift 4 4 1 0.721140091008 1.0 N/A N/A N/A N/A 1.6760 3.443 0.091  3.4430 0.0910
